start_time,end_time,lyric,vocal1,vocal2,duration,song_name,song_year
"00:02:14,520","00:02:17,220",imi nan da keottago saenggakaneunde,Nayeon,,2.7,TT,2016
"00:02:15,917","00:02:17,373",CHEER UP BABY,Jihyo,,1.456,CheerUp,2016
"00:02:17,373","00:02:18,784",CHEER UP BABY,Jihyo,,1.411,CheerUp,2016
"00:02:18,240","00:02:20,180",eojjeomyeon nae maminde wae,Nayeon,,1.94,TT,2016
"00:02:18,784","00:02:20,998", jom deo himeul nae,Jihyo,,2.214,CheerUp,2016
"00:02:20,180","00:02:23,060",nae mamdaero hal su eomneun geonde,Nayeon,,2.88,TT,2016
"00:02:20,998","00:02:23,845", yeojaga shwipge mameul jumyeon andwae,Jihyo,,2.847,CheerUp,2016
"00:02:23,360","00:02:26,260",mireonaeryeogo hamyeon halsurok,Jihyo,,2.9,TT,2016
"00:02:23,845","00:02:27,091", geuraeya niga nal deo joahage dwelkkeol,Jihyo,,3.246,CheerUp,2016
"00:02:26,260","00:02:29,340",jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jihyo,,3.08,TT,2016
"00:02:27,091","00:02:32,055",taeyeonhage yeongihallae amureochi anke,Nayeon,,4.964,CheerUp,2016
"00:02:32,055","00:02:35,008", naega neol joahaneun mam moreuge,Nayeon,,2.953,CheerUp,2016
"00:02:33,560","00:02:36,540",ireon nae mam moreugo neomuhae neomuhae,Dahyun,,2.98,TT,2016
"00:02:35,008","00:02:37,474",just get it together and then baby,Nayeon,,2.466,CheerUp,2016
"00:02:37,474","00:02:38,248",CHEER UP,Nayeon,,0.774,CheerUp,2016
"00:02:39,312","00:02:43,150",nado niga joa sangcheo ibeulkka bwa,Mina,,3.838,CheerUp,2016
"00:02:40,880","00:02:43,640",Tell me that you’d be my baby,Jihyo,,2.76,TT,2016
"00:02:43,150","00:02:51,739",geokjeongdwejiman yeojanikka ihaehaejugil,Mina,Nayeon,8.589,CheerUp,2016
"00:02:44,700","00:02:47,780",hokshi ireon nareul alkkayo,Tzuyu,,3.08,TT,2016
"00:02:47,680","00:02:51,260",idaero sarajeo beorimyeon andwaeyo,Mina,,3.58,TT,2016
